time_of_day,day_total
1132,1
2686,2
5223,3
5496,4
5950,5
8550,6
19906,7
20783,8
21005,9
21683,10
23009,11
23290,12
24054,13
24145,14
24461,15
24608,16
24721,17
24872,18
25077,19
25114,20
25270,21
52049,22
52094,23
54035,24
57060,25
60700,26
61966,27
63777,28
63866,29
65403,30
65533,31
65564,32
65631,33
67381,34
67800,35
68074,36
68406,37
68577,38
70267,39
72109,40
72164,41
72185,42
72487,43
72685,44
72783,45
72822,46
72873,47
72923,48
73006,49
73092,50
73942,51
74017,52
74140,53
75418,54
75746,55
76040,56
76563,57
76752,58
76880,59
76931,60
77180,61
77770,62
77844,63
77874,64
78844,65
78990,66
79429,67
82123,68
82531,69
82732,70
83175,71
83361,72
83538,73
85026,74
208,1
217,2
999,3
1105,4
1451,5
1523,6
1768,7
1806,8
33213,9
33265,10
33286,11
41843,12
41898,13
42001,14
42456,15
42656,16
42666,17
42713,18
43110,19
43194,20
43343,21
43623,22
44083,23
44119,24
44198,25
44257,26
44328,27
44518,28
45110,29
45196,30
45322,31
45594,32
45775,33
45918,34
45985,35
46072,36
46154,37
46265,38
46395,39
46561,40
46724,41
49373,42
49757,43
49876,44
57407,45
57631,46
57910,47
58760,48
63394,49
65199,50
65556,51
65756,52
66043,53
66094,54
66208,55
66245,56
66828,57
66862,58
67051,59
68083,60
68978,61
69033,62
69211,63
70090,64
70118,65
70567,66
70703,67
70750,68
75309,69
75823,70
77141,71
80383,72
81865,73
81908,74
82083,75
82307,76
82682,77
83620,78
86015,79
86327,80
102,1
1134,2
1219,3
1429,4
1754,5
1855,6
21432,7
21600,8
21653,9
21773,10
21817,11
21871,12
22008,13
22122,14
22218,15
22387,16
22595,17
22833,18
23912,19
24021,20
24147,21
24201,22
24266,23
24345,24
24375,25
24409,26
24531,27
24635,28
24646,29
24756,30
24873,31
24934,32
25219,33
26029,34
26044,35
26399,36
26457,37
26513,38
26559,39
26786,40
26792,41
26897,42
26955,43
27328,44
27475,45
27515,46
27533,47
27722,48
30949,49
33883,50
34044,51
34102,52
35412,53
35651,54
35874,55
37033,56
37176,57
37540,58
37704,59
37819,60
38002,61
38202,62
38326,63
38416,64
38789,65
47417,66
47495,67
47529,68
47546,69
47838,70
48179,71
48306,72
48407,73
48470,74
48778,75
49077,76
53669,77
54771,78
56040,79
59424,80
59650,81
60405,82
61174,83
61185,84
62085,85
62993,86
63246,87
63701,88
67246,89
67484,90
68365,91
73656,92
74150,93
74306,94
75566,95
75630,96
75739,97
75831,98
75979,99
76154,100
76204,101
76800,102
584,1
1509,2
26921,3
27167,4
27405,5
27509,6
28339,7
28370,8
28802,9
31220,10
31344,11
36544,12
36792,13
37201,14
37547,15
37583,16
38602,17
38950,18
40201,19
40490,20
41132,21
41188,22
41434,23
42112,24
42144,25
42173,26
42619,27
47779,28
47883,29
47915,30
48328,31
48341,32
50325,33
51010,34
75374,35
75531,36
75555,37
75927,38
76490,39
77361,40
77986,41
78947,42
78986,43
80905,44
81362,45
82278,46
82418,47
83043,48
83076,49
83124,50
84206,51
86165,52
86219,53
1109,1
2439,2
2499,3
2574,4
2696,5
2718,6
2895,7
3250,8
4256,9
4543,10
5789,11
6524,12
6624,13
6637,14
6691,15
6726,16
7304,17
7447,18
7750,19
8069,20
8575,21
9023,22
9074,23
10572,24
10603,25
30582,26
31018,27
31635,28
31977,29
32292,30
32518,31
32559,32
35994,33
36030,34
36183,35
36397,36
36419,37
36586,38
36852,39
37036,40
37077,41
37170,42
37246,43
37577,44
37991,45
38075,46
38649,47
38673,48
38747,49
39061,50
39393,51
39495,52
39544,53
41492,54
50675,55
51163,56
51459,57
54380,58
54472,59
54663,60
60980,61
61143,62
61193,63
74753,64
74914,65
75324,66
80599,67
80643,68
81052,69
83038,70
83166,71
83407,72
83542,73
83603,74
83621,75
83688,76
83756,77
85250,78
85851,79
86019,80
86123,81
3,1
80,2
324,3
606,4
2686,5
3282,6
3321,7
3387,8
3543,9
3684,10
3762,11
4619,12
5334,13
5546,14
5581,15
5676,16
5814,17
6153,18
6906,19
7061,20
7219,21
7570,22
8211,23
8605,24
9730,25
9796,26
10056,27
10174,28
10319,29
10429,30
10548,31
11232,32
11379,33
11554,34
11574,35
11634,36
11670,37
12132,38
12307,39
12662,40
25570,41
25674,42
25812,43
25923,44
26056,45
26197,46
26328,47
26583,48
27267,49
27584,50
27672,51
27693,52
27819,53
27930,54
28205,55
40445,56
45100,57
45153,58
46164,59
46217,60
46649,61
46926,62
47558,63
47816,64
47870,65
47929,66
47991,67
49131,68
58412,69
69032,70
70257,71
70391,72
70669,73
70770,74
71346,75
71410,76
71452,77
71843,78
71878,79
71942,80
72354,81
72435,82
72536,83
72583,84
72797,85
72872,86
72956,87
73110,88
73142,89
73264,90
74504,91
74530,92
74607,93
74622,94
74705,95
74774,96
75041,97
75082,98
76581,99
76761,100
76870,101
77069,102
77213,103
77349,104
77562,105
79253,106
79279,107
79482,108
79631,109
80406,110
80691,111
80714,112
80845,113
81313,114
81645,115
81954,116
82090,117
82193,118
84113,119
84339,120
84372,121
84507,122
84658,123
85042,124
85112,125
85160,126
85271,127
85420,128
85584,129
85939,130
86182,131
86236,132
86351,133
424,1
717,2
1035,3
1097,4
1423,5
1751,6
2286,7
2922,8
4610,9
7590,10
11744,11
11844,12
13368,13
13743,14
14519,15
18195,16
18502,17
18708,18
18756,19
19042,20
19345,21
19363,22
19456,23
19981,24
20250,25
21063,26
21257,27
21304,28
21372,29
21958,30
21984,31
22548,32
22609,33
39027,34
39418,35
39890,36
40597,37
40711,38
48567,39
49304,40
55992,41
56068,42
56499,43
56509,44
56563,45
56636,46
78251,47
78949,48
79100,49
79128,50
79352,51
79432,52
79821,53
79952,54
80156,55
80233,56
81085,57
81409,58
81450,59
81655,60
82589,61
82777,62
84402,63
84892,64
85083,65
85601,66
85700,67
85749,68
85865,69
85967,70
86004,71
86019,72
86108,73
86271,74
114,1
204,2
369,3
399,4
2930,5
3101,6
3738,7
3993,8
4081,9
4411,10
4534,11
4655,12
4694,13
4809,14
4896,15
4932,16
5276,17
5403,18
5463,19
5618,20
5772,21
7280,22
7679,23
8056,24
8433,25
8768,26
8791,27
8977,28
9716,29
9771,30
10886,31
10914,32
11512,33
11988,34
12990,35
26494,36
26578,37
26733,38
27177,39
27808,40
27859,41
28365,42
28634,43
28715,44
28781,45
29082,46
29158,47
29353,48
29987,49
30107,50
30265,51
30337,52
30419,53
30524,54
30848,55
31514,56
31775,57
31899,58
31967,59
32060,60
32099,61
32799,62
33210,63
